Organismo,CR1,CR2,CR3,SR1,SR2,SR3
Actinomycetaceae,0.02376,0.02391,0.03941,0.05473,0.02547,0.02211
Alcaligenaceae,0.00019,0.00021,0.00016,0.00033,0.00014,0.0001
Atopobiaceae,0.00306,0.00321,0.00467,0.00866,0.00265,0.00307
Bacillaceae,0.00017,0.00061,0.00021,0.00043,0.00022,0.00019
Bacteroidaceae,0.00063,0.00039,0.00156,0.00245,0.00029,0.00105
Bifidobacteriaceae,0.00014,0.0002,0.00079,0.00044,0.00039,0.0004
Brevibacteriaceae,5E-05,4E-05,0.00016,0.00012,9E-05,9E-05
Burkholderiaceae,0.00026,0.0003,0.00026,0.00046,0.0002,0.00027
Campylobacteraceae,0.00385,0.00268,0.00267,0.00627,0.00604,0.0023
Cellulomonadaceae,5E-05,9E-05,0.00044,0.00024,0.00017,0.00019
Chromobacteriaceae,0.00014,8E-05,7E-05,9E-05,5E-05,6E-05
Clostridiaceae,6E-05,0.00011,0.0001,9E-05,0.00011,0.00011
Clostridiales Family XIII. Incertae Sedis,0.01247,0.0105,0.00328,0.00702,0.0107,0.011
Comamonadaceae,0.00154,0.00104,0.00032,0.00037,0.00018,8E-05
Corynebacteriaceae,0.00039,0.00052,0.00187,0.00145,0.00118,0.00063
Dermabacteraceae,9E-05,9E-05,0.00034,0.00032,0.00026,0.00016
Eggerthellaceae,0.0001,3E-05,5E-05,0.00025,4E-05,4E-05
Enterobacteriaceae,0.00224,0.00022,0.0002,0.00266,0.00104,0.00114
Flavobacteriaceae,0.01384,0.00503,0.02884,0.01081,0.01705,0.0048
Fusobacteriaceae,0.0113,0.00644,0.04004,0.01447,0.02406,0.00904
Intrasporangiaceae,8E-05,7E-05,0.00028,0.00022,0.00019,0.00011
Lachnospiraceae,0.00205,0.00056,0.00194,0.00064,0.00118,0.00192
Lactobacillaceae,0.00016,0.00092,0.00021,0.0002,0.00014,9E-05
Leptotrichiaceae,0.00033,0.00256,0.00654,0.00113,0.00085,0.00073
Microbacteriaceae,0.00036,0.00033,0.00142,0.00113,0.00082,0.00064
Micrococcaceae,0.11424,0.0741,0.05215,0.1264,0.20218,0.22904
Micromonosporaceae,8E-05,8E-05,0.00039,0.00022,0.00019,0.00015
Moraxellaceae,0.00017,6E-05,7E-05,7E-05,8E-05,0.00024
Morganellaceae,7E-05,5E-05,4E-05,9E-05,0.00015,6E-05
Mycobacteriaceae,0.00014,0.00016,0.00057,0.0005,0.00048,0.00026
Neisseriaceae,0.33913,0.12818,0.11982,0.15312,0.12454,0.24751
Nocardiaceae,8E-05,0.00011,0.00037,0.00034,0.00028,0.00017
Nocardioidaceae,6E-05,0.00012,0.00032,0.0003,0.00025,0.00019
Oxalobacteraceae,0.00012,0.00017,0.00013,0.0002,0.00014,7E-05
Pasteurellaceae,0.03572,0.03079,0.01533,0.04036,0.12012,0.03668
Pectobacteriaceae,0.00014,4E-05,4E-05,9E-05,6E-05,5E-05
Peptoniphilaceae,0.00169,0.00044,0.00066,0.0034,0.00034,0.00144
Peptostreptococcaceae,0.00241,0.00043,0.0008,0.00026,0.00033,0.00192
Porphyromonadaceae,0.04702,0.00229,0.00662,0.00118,0.00061,0.00562
Prevotellaceae,0.10361,0.20515,0.25251,0.17274,0.16371,0.16406
Promicromonosporaceae,8E-05,0.00011,0.0004,0.00028,0.00027,0.00018
Propionibacteriaceae,0.00292,0.00132,0.00158,0.00304,0.00155,0.0006
Pseudomonadaceae,0.00043,0.00043,0.00067,0.00101,0.00028,0.00032
Pseudonocardiaceae,9E-05,0.00011,0.00044,0.00031,0.00022,0.00015
Rhizobiaceae,7E-05,7E-05,0.00014,0.00014,8E-05,5E-05
Rhodobacteraceae,0.00012,8E-05,0.00014,0.00018,0.00012,7E-05
Selenomonadaceae,0.00412,0.00398,0.00329,0.00447,0.00085,0.00111
Spirochaetaceae,0.00326,0.00033,0.0007,0.00039,0.00071,0.00177
Staphylococcaceae,8E-05,0.00015,0.00011,0.00017,0.00013,0.00011
Streptococcaceae,0.05044,0.06361,0.09175,0.20596,0.1081,0.05812
Streptomycetaceae,0.00137,0.00199,0.0064,0.00236,0.00145,0.002
Tannerellaceae,0.01741,0.00197,0.01823,0.00577,0.00245,0.00731
Veillonellaceae,0.01205,0.01096,0.01277,0.01355,0.01276,0.01024
Vibrionaceae,5E-05,8E-05,0.0001,0.00015,0.00014,8E-05
Xanthomonadaceae,0.00018,0.00023,9E-05,0.00019,0.00014,7E-05
Yersiniaceae,0.0001,4E-05,6E-05,6E-05,6E-05,0.0001
Zoogloeaceae,6E-05,6E-05,3E-05,7E-05,6E-05,3E-05
