"Muestras","variable","value"
"CR1","Actinomycetaceae",0.02376
"CR2","Actinomycetaceae",0.02391
"CR3","Actinomycetaceae",0.03941
"SR1","Actinomycetaceae",0.05473
"SR2","Actinomycetaceae",0.02547
"SR3","Actinomycetaceae",0.02211
"CR1","Atopobiaceae",0.00306
"CR2","Atopobiaceae",0.00321
"CR3","Atopobiaceae",0.00467
"SR1","Atopobiaceae",0.00866
"SR2","Atopobiaceae",0.00265
"SR3","Atopobiaceae",0.00307
"CR1","Campylobacteraceae",0.00385
"CR2","Campylobacteraceae",0.00268
"CR3","Campylobacteraceae",0.00267
"SR1","Campylobacteraceae",0.00627
"SR2","Campylobacteraceae",0.00604
"SR3","Campylobacteraceae",0.0023
"CR1","Clostridiales.Family.XIII..Incertae.Sedis",0.01247
"CR2","Clostridiales.Family.XIII..Incertae.Sedis",0.0105
"CR3","Clostridiales.Family.XIII..Incertae.Sedis",0.00328
"SR1","Clostridiales.Family.XIII..Incertae.Sedis",0.00702
"SR2","Clostridiales.Family.XIII..Incertae.Sedis",0.0107
"SR3","Clostridiales.Family.XIII..Incertae.Sedis",0.011
"CR1","Flavobacteriaceae",0.01384
"CR2","Flavobacteriaceae",0.00503
"CR3","Flavobacteriaceae",0.02884
"SR1","Flavobacteriaceae",0.01081
"SR2","Flavobacteriaceae",0.01705
"SR3","Flavobacteriaceae",0.0048
"CR1","Fusobacteriaceae",0.0113
"CR2","Fusobacteriaceae",0.00644
"CR3","Fusobacteriaceae",0.04004
"SR1","Fusobacteriaceae",0.01447
"SR2","Fusobacteriaceae",0.02406
"SR3","Fusobacteriaceae",0.00904
"CR1","Leptotrichiaceae",0.00033
"CR2","Leptotrichiaceae",0.00256
"CR3","Leptotrichiaceae",0.00654
"SR1","Leptotrichiaceae",0.00113
"SR2","Leptotrichiaceae",0.00085
"SR3","Leptotrichiaceae",0.00073
"CR1","Micrococcaceae",0.11424
"CR2","Micrococcaceae",0.0741
"CR3","Micrococcaceae",0.05215
"SR1","Micrococcaceae",0.1264
"SR2","Micrococcaceae",0.20218
"SR3","Micrococcaceae",0.22904
"CR1","Neisseriaceae",0.33913
"CR2","Neisseriaceae",0.12818
"CR3","Neisseriaceae",0.11982
"SR1","Neisseriaceae",0.15312
"SR2","Neisseriaceae",0.12454
"SR3","Neisseriaceae",0.24751
"CR1","Pasteurellaceae",0.03572
"CR2","Pasteurellaceae",0.03079
"CR3","Pasteurellaceae",0.01533
"SR1","Pasteurellaceae",0.04036
"SR2","Pasteurellaceae",0.12012
"SR3","Pasteurellaceae",0.03668
"CR1","Porphyromonadaceae",0.04702
"CR2","Porphyromonadaceae",0.00229
"CR3","Porphyromonadaceae",0.00662
"SR1","Porphyromonadaceae",0.00118
"SR2","Porphyromonadaceae",0.00061
"SR3","Porphyromonadaceae",0.00562
"CR1","Prevotellaceae",0.10361
"CR2","Prevotellaceae",0.20515
"CR3","Prevotellaceae",0.25251
"SR1","Prevotellaceae",0.17274
"SR2","Prevotellaceae",0.16371
"SR3","Prevotellaceae",0.16406
"CR1","Propionibacteriaceae",0.00292
"CR2","Propionibacteriaceae",0.00132
"CR3","Propionibacteriaceae",0.00158
"SR1","Propionibacteriaceae",0.00304
"SR2","Propionibacteriaceae",0.00155
"SR3","Propionibacteriaceae",6e-04
"CR1","Selenomonadaceae",0.00412
"CR2","Selenomonadaceae",0.00398
"CR3","Selenomonadaceae",0.00329
"SR1","Selenomonadaceae",0.00447
"SR2","Selenomonadaceae",0.00085
"SR3","Selenomonadaceae",0.00111
"CR1","Streptococcaceae",0.05044
"CR2","Streptococcaceae",0.06361
"CR3","Streptococcaceae",0.09175
"SR1","Streptococcaceae",0.20596
"SR2","Streptococcaceae",0.1081
"SR3","Streptococcaceae",0.05812
"CR1","Streptomycetaceae",0.00137
"CR2","Streptomycetaceae",0.00199
"CR3","Streptomycetaceae",0.0064
"SR1","Streptomycetaceae",0.00236
"SR2","Streptomycetaceae",0.00145
"SR3","Streptomycetaceae",0.002
"CR1","Tannerellaceae",0.01741
"CR2","Tannerellaceae",0.00197
"CR3","Tannerellaceae",0.01823
"SR1","Tannerellaceae",0.00577
"SR2","Tannerellaceae",0.00245
"SR3","Tannerellaceae",0.00731
"CR1","Veillonellaceae",0.01205
"CR2","Veillonellaceae",0.01096
"CR3","Veillonellaceae",0.01277
"SR1","Veillonellaceae",0.01355
"SR2","Veillonellaceae",0.01276
"SR3","Veillonellaceae",0.01024
