ID,gen
gene-KPHS_00010,flavodoxin
gene-KPHS_00020,DNA-binding transcriptional regulator AsnC
gene-KPHS_00030,asparagine synthetase AsnA
gene-KPHS_00040,ATPase RavA stimulator ViaA
gene-KPHS_00050,regulatory ATPase RavA
gene-KPHS_00060,potassium transport protein Kup
gene-KPHS_00070,D-ribose pyranase
gene-KPHS_00080,D-ribose transporter ATP-binding protein
gene-KPHS_00090,ribose ABC transporter permease
gene-KPHS_00100,D-ribose transporter subunit RbsB
gene-KPHS_00110,ribokinase
gene-KPHS_00120,ribose operon repressor
gene-KPHS_00130,MFS family transporter
gene-KPHS_00140,putative transcriptional regulator
gene-KPHS_00150,molybdopterin-guanine dinucleotide biosynthesis protein MobB
gene-KPHS_00160,molybdopterin-guanine dinucleotide biosynthesis protein MobA
gene-KPHS_00170,YihD family protein
gene-KPHS_00180,serine/threonine protein kinase RdoA
gene-KPHS_00190,protein disulfide isomerase I
gene-KPHS_00200,putative endonuclease
gene-KPHS_00210,DNA polymerase I
gene-KPHS_00220,GTP-binding protein
gene-KPHS_00230,Der GTPase-activating protein YihI
gene-KPHS_00240,coproporphyrinogen III oxidase
gene-KPHS_00250,nitrogen regulation protein NR(I)
gene-KPHS_00260,nitrogen regulation protein NR(II)
gene-KPHS_00270,glutamine synthetase
gene-KPHS_00280,hypothetical protein
gene-KPHS_00290,GTP-binding protein
gene-KPHS_00300,phosphatase
gene-KPHS_00310,ribonuclease BN
gene-KPHS_00320,D-tyrosyl-tRNA deacylase
gene-KPHS_00330,putative acetyltransferase
gene-KPHS_00340,acetyl esterase
gene-KPHS_00350,ribbon-helix-helix domain-containing protein
gene-KPHS_00360,putative 2-component transcriptional regulator
gene-KPHS_00370,formate dehydrogenase accessory protein FdhE
gene-KPHS_00380,formate dehydrogenase-O subunit gamma
gene-KPHS_00390,formate dehydrogenase-O%2C Fe-S subunit
gene-KPHS_00400,formate dehydrogenase-O alpha subunit
gene-KPHS_00410,formate dehydrogenase-O alpha subunit
gene-KPHS_00420,formate dehydrogenase accessory protein
gene-KPHS_00430,DUF1471 domain-containing protein
gene-KPHS_00440,putative 6-phosphofructokinase
gene-KPHS_00450,PTS family protein II component
gene-KPHS_00460,putative sugar phosphotransferase component IIC
gene-KPHS_00470,putative ketose-bisphosphate aldolase%2C class-II
gene-KPHS_00480,hypothetical protein
gene-KPHS_00490,PTS family protein IIA component
gene-KPHS_00500,putative serine protease
gene-KPHS_00510,putative inner membrane protein
gene-KPHS_00520,AzlC family ABC transporter permease
gene-KPHS_00530,putative helix-turn-helix regulatory protein
gene-KPHS_00540,galETK operon repressor
